C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,AÑO,CL_0,CL_5,CL_10,CL_20,CL_30,CL_40,CL_50,CL_75,CL_100
12,M33,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.561,0.635,,,,,
12,M34,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,0.569,0.425,,,,,
12,M35,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,0.258,0.377,,,,,
12,M36,1,CRUCERO 10,2007/02/18,FEBRERO,2007,,,0,0.052,,,,,
12,M37,1,CRUCERO 10,2007/02/18,FEBRERO,2007,,,0.22,0.21,,,,,
12,M38,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,0.15,0.19,,,,,
12,M39,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,0.162,0.051,,,,,
12,M40,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.51,0.39,,,,,
12,M41,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.7,0.64,,,,,
12,M42,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,1.46,0.64,,,,,
12,M43,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.77,0.52,,,,,
12,M44,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.49,0.73,,,,,
12,M45,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.63,0.42,,,,,
12,M46,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.53,1.26,,,,,
11,A01,1,CRUCERO 2,2006/07/05,JULIO,2006,,,1.023,,,,,,
11,A05,1,CRUCERO 2,2006/07/06,JULIO,2006,,,1.023,0.162,,,,,
11,A06,1,CRUCERO 2,2006/07/04,JULIO,2006,,,,0.162,,,,,
11,A08,1,CRUCERO 2,2006/07/04,JULIO,2006,,,0.162,0.162,,,,,
11,A09,1,CRUCERO 2,2006/07/03,JULIO,2006,,,0.861,,,,,,
11,A10,1,CRUCERO 2,2006/07/04,JULIO,2006,,,1.185,0.162,,,,,
11,A11,1,CRUCERO 2,2006/07/04,JULIO,2006,,,0.17,1.185,,,,,
11,A14,1,CRUCERO 2,2006/07/01,JULIO,2006,,,0.154,0.162,,,,,
11,A15,1,CRUCERO 2,2006/07/01,JULIO,2006,,,1.185,,,,,,
11,A16,1,CRUCERO 2,2006/07/01,JULIO,2006,,,3.393,1.339,,,,,
11,A17,1,CRUCERO 2,2006/07/01,JULIO,2006,,,1.347,2.37,,,,,
11,A18,1,CRUCERO 2,2006/07/18,JULIO,2006,,,1.177,1.185,,,,,
11,A19,1,CRUCERO 2,2006/06/30,JUNIO,2006,,,6.616,3.385,,,,,
11,A20,1,CRUCERO 2,2006/06/30,JUNIO,2006,,,2.208,3.393,,,,,
