C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,AÑO,MES,DIRECCION,V_MS
11,A53,1,CRUCERO 10,2007/02/24,2007,FEBRERO,N,3.55
11,A54,1,CRUCERO 10,2007/02/24,2007,FEBRERO,N,3.13
11,A55,1,CRUCERO 10,2007/03/02,2007,MARZO,CALMA,
11,A56,1,CRUCERO 10,2007/03/02,2007,MARZO,SO,2.08
11,A57,1,CRUCERO 10,2007/03/02,2007,MARZO,SO,1.08
11,A58,1,CRUCERO 10,2007/03/01,2007,MARZO,SO,1.55
11,A59,1,CRUCERO 10,2007/03/01,2007,MARZO,NO,1.77
11,A60,1,CRUCERO 10,2007/03/02,2007,MARZO,NO,7.2
12,M04,1,CRUCERO 10,2007/02/14,2007,FEBRERO,NO,7.54
12,M05,1,CRUCERO 10,2007/02/14,2007,FEBRERO,NO,5.64
12,M06,1,CRUCERO 10,2007/02/13,2007,FEBRERO,N,5.65
12,M01N,1,CRUCERO 10,2007/02/13,2007,FEBRERO,N,8.45
12,M02N,1,CRUCERO 10,2007/02/13,2007,FEBRERO,O,6.65
12,M03N,1,CRUCERO 10,2007/02/13,2007,FEBRERO,O,2.5
12,M07,1,CRUCERO 10,2007/02/13,2007,FEBRERO,N,4.21
12,M08,1,CRUCERO 10,2007/02/12,2007,FEBRERO,O,5.22
12,M24N,1,CRUCERO 10,2007/02/14,2007,FEBRERO,O,2.36
12,M25N,1,CRUCERO 10,2007/02/12,2007,FEBRERO,,0.36
12,M09,1,CRUCERO 10,2007/02/12,2007,FEBRERO,O,0.54
12,M10,1,CRUCERO 10,2007/02/12,2007,FEBRERO,O,5.21
12,M11,1,CRUCERO 10,2007/02/12,2007,FEBRERO,O,1.24
12,M12,1,CRUCERO 10,2007/02/12,2007,FEBRERO,NO,5.84
12,M13,1,CRUCERO 10,2007/02/11,2007,FEBRERO,,4.68
12,M14,1,CRUCERO 10,2007/02/11,2007,FEBRERO,NO,7.54
12,M15,1,CRUCERO 10,2007/02/11,2007,FEBRERO,O,6.35
12,M16,1,CRUCERO 10,2007/02/11,2007,FEBRERO,O,8.45
12,M23,1,CRUCERO 10,2007/02/17,2007,FEBRERO,O,5.21
12,M17,1,CRUCERO 10,2007/02/16,2007,FEBRERO,O,2.6
12,M21,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NE,2.41
12,M22,1,CRUCERO 10,2007/02/16,2007,FEBRERO,O,1.12
12,M18,1,CRUCERO 10,2007/02/16,2007,FEBRERO,O,2.35
12,M19,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NE,3.95
12,M20,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NO,7.51
12,M39,1,CRUCERO 10,2007/02/20,2007,FEBRERO,O,4.66
12,M38,1,CRUCERO 10,2007/02/20,2007,FEBRERO,NO,4.25
12,M24,1,CRUCERO 10,2007/02/22,2007,FEBRERO,NO,0.65
12,M25,1,CRUCERO 10,2007/02/23,2007,FEBRERO,O,0.84
12,M26,1,CRUCERO 10,2007/02/23,2007,FEBRERO,O,1.25
12,M27,1,CRUCERO 10,2007/02/22,2007,FEBRERO,O,5.64
12,M28,1,CRUCERO 10,2007/02/22,2007,FEBRERO,O,6.54
12,M29,1,CRUCERO 10,2007/02/22,2007,FEBRERO,O,4.21
12,M37,1,CRUCERO 10,2007/02/19,2007,FEBRERO,O,4.25
12,M30,1,CRUCERO 10,2007/02/22,2007,FEBRERO,SO,7.26
12,M36,1,CRUCERO 10,2007/02/19,2007,FEBRERO,O,3.47
12,M31,1,CRUCERO 10,2007/02/22,2007,FEBRERO,NO,8.64
12,M32,1,CRUCERO 10,2007/02/23,2007,FEBRERO,SE,0.65
12,M35,1,CRUCERO 10,2007/02/21,2007,FEBRERO,SE,0.84
12,M33,1,CRUCERO 10,2007/02/22,2007,FEBRERO,S,1.24
