C_REGION,ESTACIONID,PROGRAMA,CRUCERO,FCH_CRUC,AÑO,MES,RECURSO,VDM,COD_VDM
11,A05,1,CRUCERO 10,2012/04/23,2012,ABRIL,Cholga,-,NEGATIVO
11,A05N1,1,CRUCERO 10,2012/04/23,2012,ABRIL,Almeja,-,NEGATIVO
11,A05N2,1,CRUCERO 10,2012/04/22,2012,ABRIL,Sin Recurso,#N/A,#N/A
11,A06,1,CRUCERO 10,2012/06/02,2012,JUNIO,Cholga,-,NEGATIVO
11,A07,1,CRUCERO 10,2012/06/02,2012,JUNIO,Cholga,-,NEGATIVO
11,A08,1,CRUCERO 10,2012/06/02,2012,JUNIO,Cholga,-,NEGATIVO
11,A08N1,1,CRUCERO 10,2012/06/02,2012,JUNIO,Chorito,-,NEGATIVO
11,A08N2,1,CRUCERO 10,2012/06/03,2012,JUNIO,Almeja,-,NEGATIVO
11,A09,1,CRUCERO 10,2012/06/03,2012,JUNIO,Cholga,-,NEGATIVO
11,A10,1,CRUCERO 10,2012/06/03,2012,JUNIO,Cholga,-,NEGATIVO
11,A10N1,1,CRUCERO 10,2012/06/03,2012,JUNIO,Cholga,-,NEGATIVO
11,A11,1,CRUCERO 10,2012/04/24,2012,ABRIL,Cholga,-,NEGATIVO
11,A11N1,1,CRUCERO 10,2012/04/24,2012,ABRIL,Sin Recurso,#N/A,#N/A
11,A12,1,CRUCERO 10,2012/06/04,2012,JUNIO,Cholga,-,NEGATIVO
11,A12N1,1,CRUCERO 10,2012/06/04,2012,JUNIO,Cholga,-,NEGATIVO
11,A13,1,CRUCERO 10,2012/06/04,2012,JUNIO,Cholga,-,NEGATIVO
11,A14,1,CRUCERO 10,2012/04/25,2012,ABRIL,Cholga,-,NEGATIVO
11,A15,1,CRUCERO 10,2012/06/04,2012,JUNIO,Cholga,-,NEGATIVO
11,A16,1,CRUCERO 10,2012/06/04,2012,JUNIO,Cholga,-,NEGATIVO
11,A17,1,CRUCERO 10,2012/04/25,2012,ABRIL,Cholga,-,NEGATIVO
11,A18,1,CRUCERO 10,2012/05/30,2012,JUNIO,Cholga,-,NEGATIVO
11,A18N1,1,CRUCERO 10,2012/04/25,2012,ABRIL,Cholga,-,NEGATIVO
11,A18N2,1,CRUCERO 10,2012/05/31,2012,JUNIO,Cholga,-,NEGATIVO
11,A18N3,1,CRUCERO 10,2012/05/31,2012,JUNIO,Cholga,-,NEGATIVO
11,A18N4,1,CRUCERO 10,2012/04/24,2012,ABRIL,Sin Recurso,#N/A,#N/A
11,A19,1,CRUCERO 10,2012/06/06,2012,JUNIO,Cholga,-,NEGATIVO
11,A19N1,1,CRUCERO 10,2012/06/05,2012,JUNIO,Cholga,-,NEGATIVO
11,A19N2,1,CRUCERO 10,2012/06/05,2012,JUNIO,Cholga,-,NEGATIVO
11,A19N3,1,CRUCERO 10,2012/06/05,2012,JUNIO,Cholga,+,POSITIVO
11,A20,1,CRUCERO 10,2012/06/06,2012,JUNIO,Cholga,-,NEGATIVO
11,A21,1,CRUCERO 10,2012/06/07,2012,JUNIO,Cholga,-,NEGATIVO
11,A22,1,CRUCERO 10,2012/06/07,2012,JUNIO,Cholga,-,NEGATIVO
11,A23,1,CRUCERO 10,2012/06/07,2012,JUNIO,Cholga,-,NEGATIVO
11,A24,1,CRUCERO 10,2012/06/12,2012,JUNIO,Cholga,-,NEGATIVO
11,A25,1,CRUCERO 10,2012/06/12,2012,JUNIO,Cholga,-,NEGATIVO
11,A26,1,CRUCERO 10,2012/06/10,2012,JUNIO,Chorito,-,NEGATIVO
11,A27,1,CRUCERO 10,2012/06/11,2012,JUNIO,Cholga,-,NEGATIVO
11,A28,1,CRUCERO 10,2012/06/11,2012,JUNIO,Cholga,-,NEGATIVO
11,A29,1,CRUCERO 10,2012/06/10,2012,JUNIO,Cholga,-,NEGATIVO
11,A30,1,CRUCERO 10,2012/06/07,2012,JUNIO,Cholga,-,NEGATIVO
11,A30N1,1,CRUCERO 10,2012/06/07,2012,JUNIO,Sin Recurso,#N/A,#N/A
11,A31,1,CRUCERO 10,2012/06/07,2012,JUNIO,Chorito,+,POSITIVO
11,A32,1,CRUCERO 10,2012/06/07,2012,JUNIO,Chorito,+,POSITIVO
11,A33,1,CRUCERO 10,2012/04/23,2012,ABRIL,Cholga,-,NEGATIVO
11,A34,1,CRUCERO 10,2012/04/23,2012,ABRIL,Cholga,-,NEGATIVO
11,A35,1,CRUCERO 10,2012/05/30,2012,JUNIO,Chorito,+,POSITIVO
11,A35N1,1,CRUCERO 10,2012/05/30,2012,JUNIO,Sin Recurso,#N/A,#N/A
11,A35N2,1,CRUCERO 10,2012/05/31,2012,JUNIO,Almeja,-,NEGATIVO
11,A35N3,1,CRUCERO 10,2012/05/31,2012,JUNIO,Almeja,-,NEGATIVO
11,A36,1,CRUCERO 10,2012/05/30,2012,JUNIO,Chorito,+,POSITIVO
11,A37,1,CRUCERO 10,2012/05/29,2012,JUNIO,Cholga,-,NEGATIVO
11,A38N1,1,CRUCERO 10,2012/05/30,2012,JUNIO,Cholga,+,POSITIVO
11,A38N2,1,CRUCERO 10,2012/05/29,2012,JUNIO,Almeja,-,NEGATIVO
11,A38N3,1,CRUCERO 10,2012/05/29,2012,JUNIO,Almeja,-,NEGATIVO
11,A38N4,1,CRUCERO 10,2012/05/28,2012,JUNIO,Almeja,-,NEGATIVO
11,A39,1,CRUCERO 10,2012/05/24,2012,JUNIO,Cholga,-,NEGATIVO
11,A40,1,CRUCERO 10,2012/05/24,2012,JUNIO,Cholga,-,NEGATIVO
11,A41,1,CRUCERO 10,2012/04/25,2012,ABRIL,Cholga,-,NEGATIVO
11,A41N1,1,CRUCERO 10,2012/04/25,2012,ABRIL,Sin Recurso,#N/A,#N/A
11,A42,1,CRUCERO 10,2012/06/07,2012,JUNIO,Cholga,-,NEGATIVO
11,A43,1,CRUCERO 10,2012/06/08,2012,JUNIO,Almeja,-,NEGATIVO
11,A44,1,CRUCERO 10,2012/06/08,2012,JUNIO,Cholga,-,NEGATIVO
11,A45,1,CRUCERO 10,2012/06/08,2012,JUNIO,Cholga,-,NEGATIVO
11,A46,1,CRUCERO 10,2012/06/08,2012,JUNIO,Cholga,-,NEGATIVO
11,A47,1,CRUCERO 10,2012/06/08,2012,JUNIO,Cholga,-,NEGATIVO
11,A48,1,CRUCERO 10,2012/06/08,2012,JUNIO,Cholga,-,NEGATIVO
11,A48N1,1,CRUCERO 10,2012/06/08,2012,JUNIO,Chorito,-,NEGATIVO
11,A49,1,CRUCERO 10,2012/06/09,2012,JUNIO,Chorito,-,NEGATIVO
11,A49N1,1,CRUCERO 10,2012/06/08,2012,JUNIO,Sin Recurso,#N/A,#N/A
11,A50,1,CRUCERO 10,2012/06/11,2012,JUNIO,Cholga,-,NEGATIVO
